table,line,name,geosubtype,tot_est,tot_moe,adu_est,adu_moe,dvap_est,dvap_moe,prop_adu_dvap_est,prop_adu_dvap_moe
Place,25130,Adelanto,charter,33660,33,21995,653,3905,1029,0.17754035007956354,0.043581733424765595
Place,25156,Agoura Hills,general law,20535,54,16140,393,1090,634,0.06753407682775713,0.03825873443795264
Place,25221,Alameda,charter,78520,53,62565,524,5990,983,0.09574042995284904,0.015289650410238529
Place,25247,Albany,charter,19805,30,14665,241,3060,590,0.20866007500852368,0.03892277081056845
Place,25286,Alhambra,charter,84645,120,70315,496,13670,1053,0.19441086539145275,0.014369156453343324
Place,25312,Aliso Viejo,general law,50665,77,38200,411,3630,718,0.09502617801047121,0.018213697987151237
Place,25481,Alturas,general law,2565,25,2015,104,100,178,0.04962779156327544,0.0866784444191834
Place,25507,Amador City,general law,165,80,130,56,5,80,0.038461538461538464,0.6031675895358514
Place,25520,American Canyon,general law,20260,37,15065,271,2295,475,0.1523398606040491,0.030044806066186557
Place,25546,Anaheim,charter,349965,90,265820,1596,66135,3423,0.2487961778647205,0.01225158214932092
Place,25572,Anderson,general law,10405,119,7705,257,130,373,0.016872160934458143,0.04789784211601183
Place,25585,Angels,general law,3875,22,3290,248,75,372,0.022796352583586626,0.11164073257333235
Place,25624,Antioch,general law,111200,57,83570,919,10120,1816,0.12109608711260021,0.021084500715522585
Place,25650,Apple Valley,general law,72725,48,52335,799,3070,1274,0.058660552211713006,0.023787047339118836
Place,25702,Arcadia,charter,58150,46,45250,695,8410,1289,0.18585635359116023,0.027042612734208174
Place,25715,Arcata,general law,18180,33,16360,340,475,509,0.029034229828850854,0.03067636039870226
