table,line,geoid,geoname,geotype,name,state,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe,dvap_est,dvap_moe,has_charter,tot_est,tot_moe,p_adu_dvap_est,p_adu_dvap_moe
Place,27665,16000US0610345,"Campbell city, California",city,Campbell,California,33165,498,37260,676,28590,745,4575,897,False,42220,76,0.13794663048394393,0.029561864327333515
Place,27782,16000US0610928,"Canyon Lake city, California",city,Canyon Lake,California,8815,312,10945,117,8590,347,225,467,False,11170,30,0.025524673851389675,0.05585836742815872
Place,27795,16000US0611040,"Capitola city, California",city,Capitola,California,8350,304,9300,365,7680,468,670,559,False,10120,24,0.08023952095808383,0.07250718547989778
Place,27821,16000US0611194,"Carlsbad city, California",city,Carlsbad,California,87830,825,109485,787,83415,1057,4415,1341,False,114255,54,0.05026756233633155,0.015889555070714018
Place,27834,16000US0611250,"Carmel-by-the-Sea city, California",city,Carmel-by-the-Sea,California,3375,198,3535,174,3130,232,245,306,False,3830,35,0.0725925925925926,0.10084146469415592
Place,27899,16000US0611446,"Carpinteria city, California",city,Carpinteria,California,10875,251,11350,346,8790,400,2085,473,False,13505,40,0.1917241379310345,0.04905146447860406
Place,27925,16000US0611530,"Carson city, California",city,Carson,California,73420,793,81205,1074,63075,1159,10345,1405,False,92080,119,0.1409016616725688,0.020883900170822783
Place,28081,16000US0612048,"Cathedral City city, California",city,Cathedral City,California,41740,605,44780,729,32700,812,9040,1013,False,54355,89,0.21657882127455677,0.02781160050738074
Place,28185,16000US0612524,"Ceres city, California",city,Ceres,California,33330,537,41890,672,27300,806,6030,969,False,48215,60,0.18091809180918092,0.032511603552634105
Place,28198,16000US0612552,"Cerritos city, California",city,Cerritos,California,40755,445,45375,710,36525,737,4230,861,False,50145,34,0.10379094589620906,0.022505258519568652
Place,28328,16000US0613014,"Chico city, California",city,Chico,California,76370,651,90860,486,72795,802,3575,1033,False,94530,49,0.046811575225874036,0.014045012948824522
Place,28380,16000US0613210,"Chino city, California",city,Chino,California,71525,690,79400,911,61995,1113,9530,1310,False,89630,127,0.1332401258301293,0.019791567541791344
Place,28393,16000US0613214,"Chino Hills city, California",city,Chino Hills,California,62350,689,72570,916,54945,1038,7405,1246,False,80700,49,0.11876503608660786,0.021534342775233486
Place,28406,16000US0613294,"Chowchilla city, California",city,Chowchilla,California,14890,328,16435,410,13020,467,1870,571,False,18415,35,0.12558764271323036,0.042040430353656066
Place,28432,16000US0613392,"Chula Vista city, California",city,Chula Vista,California,200870,1391,229750,2321,163865,2530,37005,2888,False,268920,152,0.1842236272215861,0.015762336213161393
Place,28458,16000US0613588,"Citrus Heights city, California",city,Citrus Heights,California,69325,596,82425,739,65025,897,4300,1077,False,87375,58,0.062026685899747566,0.01620812036834887
Place,28471,16000US0613756,"Claremont city, California",city,Claremont,California,29465,345,33800,454,27410,512,2055,618,False,36090,101,0.06974376378754454,0.022048818630037867
Place,28510,16000US0613882,"Clayton city, California",city,Clayton,California,9320,213,11740,169,9015,228,305,313,False,12085,27,0.03272532188841202,0.03513456610983109
Place,28536,16000US0613945,"Clearlake city, California",city,Clearlake,California,11255,386,14420,310,10340,487,915,622,False,15350,31,0.0812972012438916,0.0601141521464847
Place,28614,16000US0614190,"Cloverdale city, California",city,Cloverdale,California,6625,276,7525,390,5555,425,1070,507,False,8755,25,0.16150943396226414,0.08687613856884313
Place,28627,16000US0614218,"Clovis city, California",city,Clovis,California,78880,766,104125,837,74255,989,4625,1251,False,109160,83,0.05863336713995943,0.016590024313557224
