"GEO_ID","NAME","B05003_001E","B05003_001EA","B05003_001M","B05003_001MA","B05003_002E","B05003_002M","B05003_002MA","B05003_002EA","B05003_003E","B05003_003EA","B05003_003M","B05003_003MA","B05003_004E","B05003_004EA","B05003_004M","B05003_004MA","B05003_005E","B05003_005M","B05003_005MA","B05003_005EA","B05003_006E","B05003_006M","B05003_006MA","B05003_006EA","B05003_007E","B05003_007M","B05003_007MA","B05003_007EA","B05003_008E","B05003_008EA","B05003_008M","B05003_008MA","B05003_009E","B05003_009EA","B05003_009M","B05003_009MA","B05003_010E","B05003_010EA","B05003_010M","B05003_010MA","B05003_011E","B05003_011EA","B05003_011M","B05003_011MA","B05003_012E","B05003_012EA","B05003_012M","B05003_012MA","B05003_013E","B05003_013EA","B05003_013M","B05003_013MA","B05003_014E","B05003_014EA","B05003_014M","B05003_014MA","B05003_015E","B05003_015M","B05003_015MA","B05003_015EA","B05003_016E","B05003_016M","B05003_016MA","B05003_016EA","B05003_017E","B05003_017M","B05003_017MA","B05003_017EA","B05003_018E","B05003_018EA","B05003_018M","B05003_018MA","B05003_019E","B05003_019EA","B05003_019M","B05003_019MA","B05003_020E","B05003_020M","B05003_020MA","B05003_020EA","B05003_021E","B05003_021EA","B05003_021M","B05003_021MA","B05003_022E","B05003_022EA","B05003_022M","B05003_022MA","B05003_023E","B05003_023EA","B05003_023M","B05003_023MA",
"0400000US29","Missouri","6177957","null","*****","*****","3046351","5324","null","null","698496","null","4552","null","690941","null","4594","null","7555","1548","null","null","1531","604","null","null","6024","1440","null","null","2347855","null","3082","null","2235999","null","5731","null","111856","null","5135","null","59112","null","4003","null","52744","null","3930","null","3131606","null","5324","null","664295","null","4571","null","654032","5077","null","null","10263","2071","null","null","2515","800","null","null","7748","null","1775","null","2467311","null","3489","null","2344410","6557","null","null","122901","null","5391","null","66450","null","3749","null","56451","null","4146","null",
"0400000US30","Montana","1122867","null","*****","*****","567273","2721","null","null","120028","null","2140","null","119196","null","2123","null","832","516","null","null","229","170","null","null","603","477","null","null","447245","null","1764","null","437722","null","2196","null","9523","null","1484","null","4903","null","1220","null","4620","null","1028","null","555594","null","2721","null","114154","null","1926","null","113361","1917","null","null","793","446","null","null","258","232","null","null","535","null","372","null","441440","null","1718","null","426312","2460","null","null","15128","null","2184","null","8050","null","1629","null","7078","null","1400","null",
"0400000US31","Nebraska","1967923","null","*****","*****","988837","3287","null","null","244015","null","2627","null","238933","null","2836","null","5082","1516","null","null","820","407","null","null","4262","1452","null","null","744822","null","1790","null","677723","null","4237","null","67099","null","4161","null","29562","null","3220","null","37537","null","4012","null","979086","null","3287","null","230682","null","2449","null","224438","2820","null","null","6244","1477","null","null","1823","756","null","null","4421","null","1368","null","748404","null","1782","null","684260","4175","null","null","64144","null","4091","null","31308","null","2664","null","32836","null","3063","null",
"0400000US32","Nevada","3177772","null","*****","*****","1599922","2627","null","null","350551","null","2339","null","340425","null","3197","null","10126","2223","null","null","1747","702","null","null","8379","2199","null","null","1249371","null","1215","null","971337","null","7292","null","278034","null","7213","null","143554","null","6359","null","134480","null","7474","null","1577850","null","2627","null","339102","null","2379","null","328363","3018","null","null","10739","2068","null","null","3133","927","null","null","7606","null","1831","null","1238748","null","942","null","936690","7776","null","null","302058","null","7907","null","175658","null","6409","null","126400","null","5946","null",
"0400000US33","New Hampshire","1395231","null","*****","*****","696786","2415","null","null","128066","null","1811","null","125786","null","1997","null","2280","1254","null","null","1180","792","null","null","1100","795","null","null","568720","null","1801","null","527737","null","3658","null","40983","null","3323","null","25630","null","2777","null","15353","null","2186","null","698445","null","2415","null","123627","null","1634","null","120561","1814","null","null","3066","1062","null","null","559","331","null","null","2507","null","1053","null","574818","null","1822","null","534396","2717","null","null","40422","null","2765","null","25719","null","2162","null","14703","null","2081","null",
"0400000US34","New Jersey","9261699","null","*****","*****","4564704","3763","null","null","1018460","null","3784","null","955941","null","6569","null","62519","4805","null","null","13674","2495","null","null","48845","4360","null","null","3546244","null","2331","null","2542763","null","16044","null","1003481","null","16437","null","578620","null","13255","null","424861","null","12970","null","4696995","null","3763","null","971717","null","3595","null","905357","5636","null","null","66360","5391","null","null","16851","2369","null","null","49509","null","4819","null","3725278","null","1608","null","2676556","14243","null","null","1048722","null","13935","null","655162","null","13180","null","393560","null","10592","null",
"0400000US35","New Mexico","2113344","null","*****","*****","1047785","5294","null","null","229683","null","4336","null","224942","null","4443","null","4741","1552","null","null","1059","569","null","null","3682","1554","null","null","818102","null","2758","null","728604","null","6167","null","89498","null","5947","null","37924","null","2922","null","51574","null","4891","null","1065559","null","5294","null","225792","null","4647","null","222328","4671","null","null","3464","932","null","null","824","514","null","null","2640","null","852","null","839767","null","2867","null","740597","6057","null","null","99170","null","5587","null","46658","null","3548","null","52512","null","4832","null",
"0400000US36","New York","19677151","null","*****","*****","9628899","4467","null","null","2043576","null","4095","null","1936490","null","8357","null","107086","7745","null","null","33757","4220","null","null","73329","6864","null","null","7585323","null","3206","null","5577716","null","20021","null","2007607","null","20275","null","1187247","null","19439","null","820360","null","17129","null","10048252","null","4467","null","1937662","null","3692","null","1836389","8204","null","null","101273","6960","null","null","37582","4702","null","null","63691","null","6288","null","8110590","null","2968","null","5866804","20008","null","null","2243786","null","19964","null","1455010","null","20167","null","788776","null","17503","null",
"0400000US37","North Carolina","10698973","null","*****","*****","5229792","8297","null","null","1173559","null","6867","null","1139411","null","8591","null","34148","4562","null","null","7920","1711","null","null","26228","4183","null","null","4056233","null","4550","null","3636782","null","10448","null","419451","null","10081","null","183282","null","7100","null","236169","null","7998","null","5469181","null","8297","null","1119369","null","7168","null","1086866","8786","null","null","32503","4548","null","null","4294","1218","null","null","28209","null","4239","null","4349812","null","4046","null","3919127","9721","null","null","430685","null","9290","null","208709","null","7763","null","221976","null","8341","null",
"0400000US38","North Dakota","779261","null","*****","*****","398845","2106","null","null","93609","null","1885","null","92100","null","2132","null","1509","884","null","null","247","362","null","null","1262","874","null","null","305236","null","1848","null","288474","null","2427","null","16762","null","2108","null","7887","null","1845","null","8875","null","1551","null","380416","null","2106","null","87356","null","1836","null","84465","1843","null","null","2891","1230","null","null","574","460","null","null","2317","null","1112","null","293060","null","1948","null","275867","2569","null","null","17193","null","2057","null","7171","null","1498","null","10022","null","1754","null",
"0400000US39","Ohio","11756058","null","*****","*****","5810211","5193","null","null","1310231","null","4272","null","1285886","null","4712","null","24345","3212","null","null","9067","1986","null","null","15278","2763","null","null","4499980","null","3997","null","4235612","null","7453","null","264368","null","5952","null","142731","null","5311","null","121637","null","5890","null","5945847","null","5193","null","1247925","null","3938","null","1225718","5146","null","null","22207","3181","null","null","5834","1470","null","null","16373","null","2952","null","4697922","null","3301","null","4422904","8676","null","null","275018","null","8411","null","161115","null","5447","null","113903","null","6736","null",
"0400000US40","Oklahoma","4019800","null","*****","*****","2004195","3240","null","null","490601","null","2808","null","482977","null","3097","null","7624","1437","null","null","1866","706","null","null","5758","1292","null","null","1513594","null","2012","null","1395802","null","4014","null","117792","null","3767","null","44841","null","3000","null","72951","null","3319","null","2015605","null","3240","null","462821","null","2749","null","455363","2963","null","null","7458","1328","null","null","1996","662","null","null","5462","null","1207","null","1552784","null","1773","null","1442904","4225","null","null","109880","null","3708","null","48312","null","2741","null","61568","null","3035","null",
"0400000US41","Oregon","4240137","null","*****","*****","2121651","3795","null","null","430471","null","3420","null","421796","null","3081","null","8675","1815","null","null","1969","747","null","null","6706","1644","null","null","1691180","null","2689","null","1486454","null","7390","null","204726","null","6918","null","94555","null","4531","null","110171","null","5669","null","2118486","null","3795","null","401896","null","3319","null","391343","3926","null","null","10553","2383","null","null","4076","1450","null","null","6477","null","1934","null","1716590","null","2030","null","1519601","6789","null","null","196989","null","6374","null","101069","null","4678","null","95920","null","5446","null",
"0400000US42","Pennsylvania","12972008","null","*****","*****","6399830","4711","null","null","1340509","null","4242","null","1308510","null","6130","null","31999","4038","null","null","9675","1910","null","null","22324","3483","null","null","5059321","null","2557","null","4609982","null","10501","null","449339","null","10831","null","252218","null","8204","null","197121","null","7604","null","6572178","null","4711","null","1281649","null","4038","null","1249780","5748","null","null","31869","4009","null","null","8615","2080","null","null","23254","null","3624","null","5290529","null","2406","null","4825563","12883","null","null","464966","null","12550","null","282074","null","10062","null","182892","null","7938","null",
"0400000US44","Rhode Island","1093734","null","*****","*****","535841","1689","null","null","102884","null","1543","null","97239","null","2448","null","5645","1734","null","null","1151","729","null","null","4494","1641","null","null","432957","null","1220","null","361731","null","4386","null","71226","null","4507","null","34278","null","3451","null","36948","null","3752","null","557893","null","1689","null","100262","null","1530","null","95950","2065","null","null","4312","1410","null","null","935","571","null","null","3377","null","1293","null","457631","null","955","null","381220","4265","null","null","76411","null","4225","null","45706","null","4098","null","30705","null","3223","null",
"0400000US45","South Carolina","5282634","null","*****","*****","2569909","5254","null","null","569192","null","5011","null","561636","null","5328","null","7556","1807","null","null","1685","743","null","null","5871","1820","null","null","2000717","null","2718","null","1873556","null","5556","null","127161","null","5477","null","59502","null","4695","null","67659","null","4283","null","2712725","null","5254","null","547950","null","5303","null","538779","5888","null","null","9171","2081","null","null","1805","794","null","null","7366","null","1963","null","2164775","null","2093","null","2035288","5177","null","null","129487","null","5285","null","70384","null","4456","null","59103","null","4731","null",
"0400000US46","South Dakota","909824","null","*****","*****","462457","3041","null","null","112414","null","2158","null","110743","null","2085","null","1671","851","null","null","579","504","null","null","1092","894","null","null","350043","null","2273","null","336311","null","2569","null","13732","null","1861","null","6860","null","1755","null","6872","null","1644","null","447367","null","3041","null","106567","null","2561","null","105480","2718","null","null","1087","599","null","null","333","397","null","null","754","null","429","null","340800","null","1979","null","325633","2277","null","null","15167","null","2008","null","9290","null","1826","null","5877","null","1388","null",
